ROW,TAXON_NAME,TAXA_COARSE,NOTE
133,Cnidaria,Cnidaria,
196,Cnidaria,Cnidaria,
330,Cnidaria,Cnidaria,
985,Cnidaria,Cnidaria,
4559,Cnidaria,Cnidaria,
5946,Cnidaria,Cnidaria,
7344,Cnidaria,Cnidaria,
7779,Cnidaria,Cnidaria,
13149,Cnidaria,Cnidaria,
14141,Cnidaria,Cnidaria,
14452,Cnidaria,Cnidaria,
17795,Cnidaria,Cnidaria,
19577,Cnidaria,Cnidaria,
19638,Cnidaria,Cnidaria,
20309,Cnidaria,Cnidaria,
20642,Cnidaria,Cnidaria,
20773,Cnidaria,Cnidaria,
23307,Cnidaria,Cnidaria,
23383,Cnidaria,Cnidaria,
23930,Cnidaria,Cnidaria,
18326,Copepoda,Copepoda,Remove
5299,Corycaeus,Copepod_small,
11574,Corycaeus,Copepod_small,
13896,Corycaeus,Copepod_small,
13897,Corycaeus,Copepod_small,
13898,Corycaeus,Copepod_small,
13990,Corycaeus,Copepod_small,
14089,Corycaeus,Copepod_small,
14090,Corycaeus,Copepod_small,
14091,Corycaeus,Copepod_small,
14188,Corycaeus,Copepod_small,
15151,Corycaeus,Copepod_small,
15152,Corycaeus,Copepod_small,
15153,Corycaeus,Copepod_small,
15250,Corycaeus,Copepod_small,
15344,Corycaeus,Copepod_small,
15444,Corycaeus,Copepod_small,
15445,Corycaeus,Copepod_small,
15645,Corycaeus,Copepod_small,
19069,Corycaeus,Copepod_small,
19275,Corycaeus,Copepod_small,
21049,Corycaeus,Copepod_small,
21143,Corycaeus,Copepod_small,
22206,Corycaeus,Copepod_small,
22372,Corycaeus,Copepod_small,
22717,Corycaeus,Copepod_small,
22837,Corycaeus,Copepod_small,
15601,Corycaeus anglicus,Copepod_small,
15710,Corycaeus anglicus,Copepod_small,
15711,Corycaeus anglicus,Copepod_small,
15814,Corycaeus anglicus,Copepod_small,
15964,Corycaeus anglicus,Copepod_small,
22255,Corycaeus anglicus,Copepod_small,
22426,Corycaeus anglicus,Copepod_small,
22427,Corycaeus anglicus,Copepod_small,
22508,Corycaeus anglicus,Copepod_small,
22787,Corycaeus anglicus,Copepod_small,
4935,Coryne,Cnidaria,
11633,Coryne,Cnidaria,
16341,Coryne,Cnidaria,
17796,Coryne,Cnidaria,
3338,Corynidae,Cnidaria,
4401,Corynidae,Cnidaria,
7569,Corynidae,Cnidaria,
20643,Corynidae,Cnidaria,
20711,Corynidae,Cnidaria,
20775,Corynidae,Cnidaria,
1808,Cranchiidae,Mollusk,Remove
2787,Cranchiidae,Mollusk,Remove
19,Crangonidae,Caridea,
80,Crangonidae,Caridea,
135,Crangonidae,Caridea,
198,Crangonidae,Caridea,
266,Crangonidae,Caridea,
332,Crangonidae,Caridea,
570,Crangonidae,Caridea,
1460,Crangonidae,Caridea,
1665,Crangonidae,Caridea,
1978,Crangonidae,Caridea,
2050,Crangonidae,Caridea,
2270,Crangonidae,Caridea,
2420,Crangonidae,Caridea,
2643,Crangonidae,Caridea,
3069,Crangonidae,Caridea,
3116,Crangonidae,Caridea,
3169,Crangonidae,Caridea,
3225,Crangonidae,Caridea,
3486,Crangonidae,Caridea,
4119,Crangonidae,Caridea,
4247,Crangonidae,Caridea,
4767,Crangonidae,Caridea,
7767,Crangonidae,Caridea,
11607,Crangonidae,Caridea,
11734,Crangonidae,Caridea,
11856,Crangonidae,Caridea,
16202,Crangonidae,Caridea,
16258,Crangonidae,Caridea,
17086,Crangonidae,Caridea,
17622,Crangonidae,Caridea,
199,Cryptolithodes typicus,Anomura,
5290,Ctenocalanus,Copepod_small,
14636,Ctenocalanus,Copepod_small,
14974,Ctenocalanus,Copepod_small,
15132,Ctenocalanus,Copepod_small,
18094,Ctenocalanus,Copepod_small,
18176,Ctenocalanus,Copepod_small,
18270,Ctenocalanus,Copepod_small,
18444,Ctenocalanus,Copepod_small,
19058,Ctenocalanus,Copepod_small,
19163,Ctenocalanus,Copepod_small,
22074,Ctenocalanus,Copepod_small,
22273,Ctenocalanus,Copepod_small,
24815,Ctenocalanus,Copepod_small,
25906,Ctenocalanus,Copepod_small,
20,Ctenophora,Ctenophora,
136,Ctenophora,Ctenophora,
200,Ctenophora,Ctenophora,
333,Ctenophora,Ctenophora,
397,Ctenophora,Ctenophora,
571,Ctenophora,Ctenophora,
625,Ctenophora,Ctenophora,
735,Ctenophora,Ctenophora,
986,Ctenophora,Ctenophora,
1066,Ctenophora,Ctenophora,
1144,Ctenophora,Ctenophora,
1599,Ctenophora,Ctenophora,
1809,Ctenophora,Ctenophora,
1900,Ctenophora,Ctenophora,
1979,Ctenophora,Ctenophora,
2499,Ctenophora,Ctenophora,
2644,Ctenophora,Ctenophora,
2715,Ctenophora,Ctenophora,
2788,Ctenophora,Ctenophora,
